track_id,title,year,artist_name,release,recording_mbid,language,rating,rating_count,url,covert_art_url
TRAADDS128F425C68B,"Barking Dogs (From ""Piouhgd"")",0,Butthole Surfers,Piouhgd + Widowermaker!,,,,,,
TRAADED128F42741FD,OUTE ENA EFHARISTO,0,Despina Vandi,Profities,,,,,,
TRAADEV128F9348C0A,Midnight Swim,0,Javier Navarrete,Cracks,772193f3-cdbf-4f62-8cf9-fb5f80ba7b55,,,,,
TRAADHS12903CE70A9,In A Subtle Way,0,Jacob Young,Pieces Of Time,,,,,,
TRAADIV12903CB15C1,Spin,2007,Scarlet's Remains,The Palest Grey,b074d6ea-94bf-4404-9460-b37225d0abb6,,,,,
TRAADLH12903CA70EE,Burning In The Aftermath,2003,The Suicide Machines,A Match & Some Gasoline,,,,,,
TRAADLN128F14832E9,Angie (1993 Digital Remaster),0,The Rolling Stones,Jump Back - The Best Of The Rolling Stones_ '71-'93,,,,,,
TRAADLR12903CF8D7E,Sabor Guajiro,0,Roberto Torres,Lo Mejor con La Orq. Broadway,,,,,,
TRAADLX128F1469250,Human Cannonball,1995,Loudon Wainwright III,Grown Man,577e31fa-6626-4430-9fed-1a0d07fd3a0a,,,,,
TRAADMH128F9343E59,Glory Be,2004,R.L. Burnside,A Bothered Mind,aa8f4f99-d972-41c5-b3c2-b34534b830af,,,,,
TRAADNA128F9331246,Crossfire,1992,Stevie Ray Vaughan,Greatest Hits,a75a2bd3-c0d9-459d-8398-53e0c8529a75,,,,,http://coverartarchive.org/release/daa867e1-fb61-413a-8490-82e511daadd9/3210033158.jpg
TRAADOF12903CAA1C1,I Can't Be Satisfied,2002,John Hammond,Bluesman,114c5b29-10bb-4ce0-807e-24397ee51d11,,,,,
TRAADQX128F422B4CF,Nashville Parthenon,2006,Casiotone For The Painfully Alone,Etiquette,b2aa3532-2e59-48e9-a49b-fe0b2d757774,,60.0,1.0,,
TRAADRN128F932D607,Cocain Ducks,1995,Ec8or,Ec8or,,,,,,
TRAADVH128EF34DE7A,Human Being,1974,The New York Dolls,Too Much Too Soon,8f6ef02f-05e8-40a6-9441-c99b3f55b3bd,,,,,http://coverartarchive.org/release/8856c75d-9416-4ae4-94de-eaecca7e369d/23933394495.jpg
TRAADYB128F92D7E73,The More I See You,2009,Eliane Elias,Bossa Nova Stories,09caef8e-d2a9-4ee1-a384-7151c2afda52,,,,,
TRAADYI128E078FB38,Certain Things We Do,1997,Lost Boyz,Love_ Peace & Nappiness,4a561383-a3c9-4510-8c64-17f7c1812089,,,,,http://coverartarchive.org/release/4a561383-a3c9-4510-8c64-17f7c1812089/1111686265.jpg
TRAAEAM128F934B199,Forming,1977,The Germs,Germicide,92dd183f-4bce-482e-995d-31ce4b64f948,,40.0,1.0,,http://coverartarchive.org/release/92dd183f-4bce-482e-995d-31ce4b64f948/16682967630.jpg
TRAAEDJ12903CCE390,Mafuá,0,Yamandu Costa,Mafuá,56dcf5d8-5d74-4b89-9417-664520520184,,,,,
TRAAEEH128E0795DFE,Driving Home For Christmas,1986,Chris Rea,The Road To Hell Part 2,13bde512-db88-4900-88c4-59e305d62afb,,,,,
TRAAELO128F9302DD1,Spooks In Space,1966,Perrey And Kingsley,Vanguard Visionaries,,,,,,
TRAAEMJ128F425A917,Tous Les Garçons Et Les Filles,1985,Eurythmics,Be Yourself Tonight,464e55fd-0409-42b2-a489-ee1816ba584f,,,,,
TRAAENC128F1451DE9,Too Much Saturn,1995,Francis Dunnery,Hometown 2001,af18cda0-a21e-4d90-876b-f2e86f2ba83a,,,,,http://coverartarchive.org/release/af18cda0-a21e-4d90-876b-f2e86f2ba83a/1110967717.jpg
TRAAENP128F147BF32,Movement 4 [from Kiss] (Album Version),1997,John Cale,Eat / Kiss: Music For The Films By Andy Warhol,,,,,,
TRAAEOU128F9309DE0,Stream,0,Suzanne Ciani,The Ultimate Most Relaxing New Age Piano in the Universe,36d28625-d4bc-4c7c-bd61-1a0d2fc882db,,,,,
TRAAERU128F930674F,Make Me Over,0,Vickie Winans,Classic Gold: Best of All,,,,,,
TRAAEUB12903CDD3EA,Deform (live),2000,The Berzerker,The Berzerker,,,,,,
TRAAEWG128F930B3A4,Wicker Chair,2003,Kings Of Leon,Holy Roller Novocaine,ab41f738-e860-492c-8dde-1a051ea8679a,,,,,
TRAAEXM128F92D47C8,An ti chans',0,Edith Lefel,Jeux de dames_ vol. 1 (réalisation Ronald Rubinel),,,,,,
TRAAFEB128F92F8694,I Will Love Again (JJ's Club Radio),0,Taras,I Will Love Again,,,,,,
TRAAFJW128F428A424,Stickin In My Eye,1992,NOFX,White Trash ......,,,,,,
TRAAFKJ12903D02552,Ota kiinni,0,Murskahumppa,Murskapunkkia,,,,,,
TRAAFMS128F933AB23,Entre Caníbales,1990,Soda Stereo,Canción Animal,,,,,,
TRAAFON128F42926FB,Rosemary Recalls,1985,Bruce Rowland,The Man from Snowy River,b98feee2-16c4-481c-a0f6-f6fa62b77b57,,,,,
TRAAFRU128F9339158,Sudanese Dance,2000,Xcultures,One World One People,610d12d6-6b16-4c73-9b69-0b0e5e5c88c5,,,,,
TRAAFSM128F425A2C5,Where The Thunder Roars (Tales Of Wonder Album Version),0,White Heart,Tales Of Wonder,,,,,,
TRAAFUJ128F933F42B,Wanna Be A Player,1997,Heavy D / McGruff,Waterbed Hev,,,,,,
TRAAFYL128E07856A7,Panama (Remastered Album Version),0,Van Halen,The Best Of Both Worlds,,,,,,
TRAAGCZ128F93210FD,Let's Get It Started,2004,Black Eyed Peas,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,,,,,,
TRAAGEC128E079252C,Metal,2000,Nine Inch Nails,Things Falling Apart,bf52cc79-5d0f-45c5-807c-4406b2b8f488,,90.0,2.0,https://www.youtube.com/watch?v=ehMqEXUspfs,
TRAAGGE128F9325E2C,She Fell Away (2009 Digital Remaster),0,Nick Cave & The Bad Seeds,Your Funeral... My Trial (2009 Digital Remaster),,,,,,
TRAAGHM128EF35CF8E,Next Time,0,Nadine Renee,Oasis of Love,,,,,,
TRAAGJV128F1464090,It's My Party,1963,Lesley Gore,60's Triple set,fae1dc7b-06b6-420f-9b0b-d249933ef65e,,,,,http://coverartarchive.org/release/fae1dc7b-06b6-420f-9b0b-d249933ef65e/2114440214.jpg
TRAAGKF128F932D5A2,Complicate It,2001,Smartbomb,Yeah.  Well_ Anyway....,8475c14e-2c0f-4c15-9bc7-55ca2167629e,,,,,http://coverartarchive.org/release/8475c14e-2c0f-4c15-9bc7-55ca2167629e/7991186362.jpg
TRAAGKQ128F92EAF39,Monde De Fou,2005,Suburbs,Un Titre de Toune,,,,,,
TRAAGKS128F9314884,Opus a Satana (Part 2),0,Emperor,Live Inferno,,,,,,
TRAAGMJ12903CAD7D4,This Melody (Live),0,Julien Clerc,Vendredi 13 - 1981,,,,,,
TRAAGNL128F4299BF1,I'm Gone This Time,0,Glen Campbell,Unconditional Love,d42c8513-2415-4e7b-8d6f-c7776f34f974,,,,,
TRAAGOH128F42593CE,You Feel Good All Over,2002,T.G. Sheppard,The Very Best Of,c3ea1a3a-d933-476b-acce-81ff0580e67e,,,,,
TRAAGPF12903CE027E,Indian Love Call,1990,Slim Whitman,Country Lovers. Vol. 3,0a094a61-cf04-4c11-a52a-9bf241b2bacf,,,,,http://coverartarchive.org/release/0a094a61-cf04-4c11-a52a-9bf241b2bacf/6168287036.jpg
TRAAGPH128F4273C8D,You Can Still Be Free,1999,Savage Garden,Affirmation,6cc65430-55e8-4d3e-a86d-3106b741a0cb,,100.0,2.0,,
TRAAGPJ128F428CD1B,I Never Came,2005,Queens Of The Stone Age,Lullabies To Paralyze,43dc751d-887e-462f-8ff0-387de06acc42,,73.0,4.0,,
TRAAGUA128F93236E8,Dixie,0,Hank Penny & The Lincoln Penny Orchestra,It's War Again,,,,,,
TRAAGVF128E0789785,Commercial Reign,1990,Inspiral Carpets,The Singles,c23f4ce8-5c26-48b8-bc51-21187506a355,,,,,http://coverartarchive.org/release/030e7273-66b3-4ea3-93bb-e9ea9c2cb280/16488308036.jpg
TRAAGVM128E0784D95,Hourglass,0,Borialis,What You Thought You Heard,d9eadda2-77ae-4298-82b2-0d161c948b13,,,,,
TRAAGXN128F92DE52C,Wake,0,The Dirty Skirts,Daddy Don't Disco,12420a28-fcba-4662-a6f2-c0f8200ae427,,,,,
TRAAGZU128EF360F47,Caricia Y Herida,0,Flor Silvestre,15 Exitos Vol. 2 Flor Silvestre,,,,,,
TRAAHDH128F93094B6,Le tortillard,0,Bézu,Le top du père Nöel,6cfa0cbe-f0db-4ae5-a001-378a22170d71,,,,,
TRAAHEG128E07861C3,WKYA (drop),2001,Redman,Malpractice,,,,,,
TRAAHEH128F427FCEF,Teräslintu,0,Solistiyhtye Suomi,20 Suosikkia / Rilluttele yö,2bd6a11c-715c-40c9-96f4-77fb34c0823c,,,,,
TRAAHEQ128F93057B4,Now's The Time To Fall In Love,0,Eddie Cantor,The Fabulous Eddie Cantor,,,,,,
TRAAHER128F92E3FE9,Grim Prospects (Gross Prospects - Bad Trip Remix),0,Schizoid,Grim Prospects Remixes - Grim Prospects Will Never End,,,,,,
TRAAHJX128F9312B83,Mangos,1961,Kai Winding,The Incredible Kai Winding Trombones,88458a21-5fd4-49bb-a7d4-f2912c810e5d,,,,,
TRAAHKE128F421389B,A Distant Voice,0,Sonny Simmons,Staying on the Watch,6d243c42-4907-468b-bcb0-9b1f197500b1,,,,,
TRAAHMO128F92DE7C9,Openbare Weg,2006,Mira,Openbare Weg,,,,,,
TRAAHPZ12903CB4643,President Johnson,2000,Citizen Kaned,Tip World Singles 2000,0a3d61e3-ed45-428d-b953-b00a1a01506b,,,,,
TRAAHRF128F92FE234,Lead Me Lord,1995,The Brooklyn Tabernacle Choir,Praise Him...Live!,d7dff426-2ced-4da9-8aa7-a86dd93ce5a1,,,,,http://coverartarchive.org/release/d7dff426-2ced-4da9-8aa7-a86dd93ce5a1/12431304972.jpg
TRAAHTH12903CCFFE1,Spontanous Combustion,0,Ellen McIlwaine,Spontanous Combustion,,,,,,
TRAAHVY128F92E25D6,Choro,0,Vince Guaraldi / Bola Sete,From All Sides,4423374e-9276-430b-b9ad-c6e3848ec0a5,,,,,
TRAAHXN128F9326097,Ma Louise,0,Maurice Chevalier,Maurice Chevalier  The Essential Collection Vol 1,4112c721-d410-431a-a2ee-dc22be7e5c7c,,,,,
TRAAHYV128F932A425,I Want You (Forever),1991,Carl Cox Vs Yousef,Dave Pearce Best of the Dance Years 1988 - 1992,cb9de6e8-9ab8-4a4a-aa79-4366e81815df,,,,,
TRAAHZP12903CA25F4,Hate,1997,Organized Konfusion,The Equinox,a0ba444e-caf9-4e27-acd1-ace470924ed7,,,,,http://coverartarchive.org/release/a0ba444e-caf9-4e27-acd1-ace470924ed7/22197868371.jpg
TRAAIAE128F42AC53D,I Can't Stop Loving You,2005,Martina McBride,Timeless,,,,,,
TRAAIAN12903CFF16D,Thank You Lord,1985,Horace Andy,Feel Good All Over: Anthology 1970-1976,78c23dc9-e7e8-4a37-a7d1-92134a91a574,,,,,
TRAAIAX128F930531B,How Can You Call That Beautiful (Stewkey Vocal),0,Nazz,13th And Pine,,,,,,
TRAAIBB12903CECB35,Cheatin' In The Next Room,0,Tyrone Davis,Call Tyrone,,,,,,
TRAAIDY128F92CA454,Candy Man,1971,Hot Tuna,Final Vinyl,e04065a0-f241-4c14-92e8-90fd8d53046c,,,,,
TRAAIFG12903CB0BCB,I See The Boys Of Summer,0,Richard Burton,Fifteen Poems By Dylan Thomas,,,,,,
TRAAIGD12903CA2F3C,Three Is a Crowd,0,Rory Block,The Early Tapes 1975-1976,0d88d19f-bfde-487b-95bf-aa32f3d98ef1,,,,,
TRAAIHL128F92E6DDA,On Bended Knee,1994,Boyz II Men,Legacy,d5b4c89d-525a-4d9c-a576-bb8ec8e1a31a,,70.0,2.0,,http://coverartarchive.org/release/2364a9fd-bfbd-455e-b233-3d20f037ed79/8430789270.jpg
TRAAIIE128F4288BB1,My Four Reasons,0,Howard Armstrong,Louie Bluie Film Soundtrack,941358d5-165e-46ee-a628-5ee15a4ac55d,,,,,
TRAAIII128F427D5D8,Little Girl (LP Version),1971,Donny Hathaway,Donny Hathaway,,,,,,
TRAAILM128F93480BB,Eternamente Amame,0,Miguel Gallardo,Canciones De Amor De Miguel Gallardo,060d5740-1e6d-4ff3-a62d-8112db9845e9,,,,,
TRAAINT128F933BBE0,Niev nietch nievitch,1999,Les Ogres De Barback,Irfan_ le héros,a276e628-0d07-4f39-aa73-1fa28b9fa74d,,,,,
TRAAIRG128F93265E8,Come Over,0,DJ X-Change featuring DJ Joey A,What up Detroit,,,,,,
TRAAIXN128F428027A,Blue Taxi,0,Morel,Peterbilt Angel,,,,,,
TRAAIXU128F4241E5C,I Want Love (Tween You & Me) (Album Version),0,Tony Joe White,Homemade Ice-Cream,,,,,,
TRAAIYR12903CD290D,White Feather,2009,Wolfmother,White Feather,2016f853-ac75-46e5-bc4a-b771105410c1,,60.0,1.0,,
TRAAJAC128F148B530,Christlike Roche,1995,The Roches,Can We Go Home Now,,,,,,
TRAAJBU128F9326C02,You Rascal You,0,Bob Margolin,In North Carolina,6ebcc905-bf19-4477-a3a6-ef1cd57e278b,,,,,
TRAAJBU12903CE2831,Sympathy,0,Thomas Battenstein,Wintertime,,,,,,
TRAAJEK128F422F55A,They Say (Album),2007,Jupiter Rising,Electropop,,,,,,
TRAAJEK12903CE351A,Simon's Folly,0,Dharma Bums,DUMB: 4-track cassette recordings (1987),,,,,,
TRAAJJA12903CC518A,Crawl Before You Ball (Album Version),1999,Saafir,The Hit List,,,,,,
TRAAJJG128F4284B27,Medicate Myself,2001,The Verve Pipe,Underneath,d36d2979-8052-4292-8f2f-cd1f5cd13711,,30.0,2.0,,http://coverartarchive.org/release/d36d2979-8052-4292-8f2f-cd1f5cd13711/5420313137.jpg
TRAAJJV128F42A2F99,Biding Her Time,1990,Bob Neuwirth,99 Monkeys,a3084b87-5e2d-4b63-9be8-9658d8d9e39a,,,,,
TRAAJMH128E0785407,More And More  (LP Version),0,Marvin Sapp,Nothing Else Matters,,,,,,
TRAAJNM12903CF4750,Cowboy Ways,0,James Hunter,A Tribute to The American Horse,,,,,,
TRAAJSX128F4275A1D,Brasas Vivas,0,Nelson Ned,Mis Momentos,,,,,,
TRAAJVJ128F42570AD,Kolomeyke,0,Mish Mash,Mish Mash_ Le Blues European: Musique Slave Et Klezmer,,,,,,
TRAAJXQ128F92E65BF,In This Life,2009,Cama,In this Life,6c744eb9-b05c-4dfe-8e29-9ff65a4ea49d,,,,,
TRAAJYX128F4255568,Groovin' In The Midnight,1991,Maxi Priest,Best Of Maxi Priest,,,,,,
TRAAKAS128F4246013,Waiting,1997,Porcupine Tree,Signify (Special Edition),03fbf2df-8919-406a-9af1-0ac99c4d58de,,,,,http://coverartarchive.org/release/b2f16e26-412e-4d5e-bbf0-76ff337a7e09/12023931281.jpg
TRAAKAV128F931BE25,A'chek Ouyounik (2009 Digital Remaster),0,Ragheb Alama,Bravo Alayki Rare recording,,,,,,
TRAAKDF128F92FA302,Hell,2005,Foo Fighters,In Your Honor,4c75f827-4f3c-4f36-8721-b6658be0d336,,55.0,4.0,,
TRAAKDG128F42A0ECB,Hips Don't Lie (featuring Wyclef Jean),0,Shakira Featuring Wyclef Jean,Essential R&B Hit Selection,,,,,,
TRAAKJJ128F4228346,Juoksuhauta-twist (Elämä juoksuhaudoissa),0,The Avengers,20 Suosikkia / Rautalankaklassikot / Kolme kitaraa,,,,,,
TRAAKNS12903CC5198,I Got Over It (Album Version),1988,Robben Ford,Talk To Your Daughter,,,,,,
TRAAKQS128F4224DE1,One Less Bell To Answer,0,Brazilian Tropical Orchestra,American Songbook - Bacharach,,,,,,
TRAAKSB128F934D73A,Festa,0,Gil Semedo,Nha Vitória,,,,,,
TRAAKTK128F9343DCC,Te Hacen Falta Vitaminas,1984,Soda Stereo,Gira Me Verás Volver,f4485f1e-da08-4cc9-939c-5e909fcb5b19,,,,,
TRAAKVA128F934E69E,Sense And Trick,0,Xmilk,Scarcity,,,,,,
TRAAKVD12903CE8474,Fire (Oscar G Space Vocal Mix),0,Dolce; Oscar G.,Fire,,,,,,
TRAAKVZ12903D074BB,Hanging On (Medium Key Performance Track Without Background Vocals),0,Britt Nicole,Hanging On (Premiere Performance Plus Track),,,,,,
TRAAKXN128F92E71B1,Grim Prospects (Version 2 Remix),0,Schizoid,Grim Prospects Remixes - Prospects Are Getting Grimmer,,,,,,
TRAALCM128F4264370,Christmas In Jamaica,2001,Toni Braxton Featuring Shaggy,Snowflakes,,,,,,
TRAALDU128F930D56B,Gossippo Perpetuo,2001,Perrey And Kingsley,The Out Sound From Way In!,5da1d2df-e7ba-4c75-a910-845bf53ad598,,,,,
TRAALEO128F42A7AEA,2190 Dias Contigo,0,Sven Tasnadi,El Fuego De Dentro,,,,,,
TRAALHD12903D0BD6A,No Control,0,Eddie,No Control,,,,,,
TRAALNG12903D014E9,The Vitalized Shell,2010,Enthroned,Pentagrammaton,16b7f6d2-5b53-4371-980b-788b13a4fe0a,,,,,
TRAALRZ128F429024E,Mozart,1989,Suzanne Ciani,Pianissimo,d3ffe328-adbb-4440-b06e-0ada7b07ff92,,,,,
TRAALSV128F4282B9B,Ciao Milan,0,Milan Band,Milan Milan,,,,,,
TRAALUX12903CFD50B,Lend Me Your Chopper,2004,Johnny Osbourne,Auralux Reggae Showcase,85fee63b-7088-4844-971b-6f210f427b33,,,,,
TRAALZC128F92E11A6,Letter To Heaven,1971,Dolly Parton,Heaven,fad63290-bb7d-4380-ac5b-ef5839082cd3,,,,,
TRAALZN128F932D457,Heaven is Where The Heart Is,0,Rance Allen Group,Up Above My Head,,,,,,
TRAAMES128F42AF068,Inside Job,2006,Pearl Jam,Pearl Jam,928563a7-ebef-4204-84d9-6f11f0643231,,75.0,4.0,https://www.deezer.com/track/410596232,
TRAAMFG128F92FDEA2,Take A Look  (LP Version),0,Natalie Cole,Take A Look,,,,,,
TRAAMFT128F93128AD,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),2009,Mastodon,Crack The Skye,,,,,,
TRAAMGJ12903CD315C,Bulgarian Dream,0,Kiril Valeri,Behind The Blue,,,,,,
TRAAMII128F933B583,Amalgama,0,Word,Matumago X Press,,,,,,
TRAAMJY128F92F5919,Born and Raised In Compton,1991,DJ Quik,The Best of DJ Quik - Da Finale,,,,,,
TRAAMKI128F428537A,We're Gonna Go Fishin',0,Hank Locklin,RCA Country Legends,6072b502-4d7c-4d92-a9f9-b2e0ef7053d9,,,,,
TRAAMKL128F9347D8A,Robbers Kill Cop,0,BT,LOOK (Original Motion Picture Soundtrack),b9d9d327-03fc-4b8a-b4cd-e9b79af19f55,,,,,
TRAAMKP12903CC74F4,Relax,2009,2-4 Grooves feat. Reki D.,Relax,b49ffe6b-1c6f-465b-804b-afd132f6559d,,,,,
TRAAMKW128F4249CF0,Sweet By And By,0,The Jordanaires,Joy In Our Hearts - The Gospel Side Of The Jordanaires,,,,,,
TRAAMPA128F92E7D0D,Orgofart,1986,Descendents,Enjoy!,3471d02e-f154-456d-bd66-563930468a4d,,,,,
TRAAMSO128EF348DCC,Bitch Is Back,1988,L.A. Guns,A Nite On The Strip - Live,7183ca07-ec05-4e52-8177-4c3aa2d04b15,,70.0,2.0,,http://coverartarchive.org/release/7183ca07-ec05-4e52-8177-4c3aa2d04b15/22842861788.jpg
TRAAMXP128F4264F6A,Naked Albino,1998,Bare Jr.,Boo-Tay,322a7cb3-6221-41fc-9ce3-c1b0ce381040,,,,,http://coverartarchive.org/release/322a7cb3-6221-41fc-9ce3-c1b0ce381040/12872172793.jpg
TRAAMYQ128F148B753,Johnny Loves Me (LP Version),0,Shelley Fabares,The Best Of Shelley Fabares [Digital Version],,,,,,
TRAAMZB12903CAB002,Dearly Beloved,0,Norrie Paramor,In London_ In Love,,,,,,
TRAAMZR128F9315DCC,The Look Of Love,0,Gary Hobbs,Of My Times,,,,,,
TRAANBH128F9345A6C,Cooler Than You,1998,Diesel Boy,Venus Envy,43e34165-ee36-4e1f-b925-5a9958297bec,,,,,http://coverartarchive.org/release/43e34165-ee36-4e1f-b925-5a9958297bec/9699597757.jpg
TRAANKK128F42531BC,Taryns Deepest Fear,0,Angelo Badalamenti,Freddy's Favorites: The Best of A Nightmare On Elm Street,,,,,,
TRAANLO128F422AE37,Summer Dying Fast,1994,Cradle Of Filth,Bitter Suites to Succubi,78e78774-1f5b-4564-a293-67e1e7a154c7,,60.0,2.0,https://www.youtube.com/watch?v=xQFHaCTBwxU,http://coverartarchive.org/release/78e78774-1f5b-4564-a293-67e1e7a154c7/20214721308.jpg
TRAANLZ128F934EC42,Still,0,Jim Chappell,Manila Nights,,,,,,
TRAANMF12903CEAFEF,Snapshot,0,Ladybug,Snapshot,,,,,,
TRAANRI12903CD0A9C,End Of The Road (Head Hornys Remix),0,Bandido,End Of The Road - Single,,,,,,
TRAANTD128F9323B23,7 Miles,0,Brixx,7 Miles,,,,,,
TRAANTZ128E0792529,The Frail,1999,Nine Inch Nails,Things Falling Apart,c7fc8324-dd08-406a-824b-5d2146809ccc,,63.0,8.0,,http://coverartarchive.org/release/288b9b3d-108d-487a-8f2e-90a9987c6605/20111395522.jpg
TRAAODT12903D0D16E,Para Milladoiro,2010,Susana Seivane,Os soños que volven,ae93ba42-c0e5-4dfa-a732-04327787d12b,,,,,
TRAAOEH128F426A82F,Stone Cold Fingers (Bonus Track),0,Leland Martin,Leland Martin,,,,,,
TRAAOIN128F9303790,Snowball,2005,Test Icicles,For Screening Purposes Only,c24eacdc-e6e9-4e0e-a49a-880709dd473d,,,,,
TRAAOJI128F1458DCD,(We Don't Need This) Fascist Groove Thang,1981,Heaven 17,Endless,8cbbf66f-f75a-4d44-8ab2-ef20a3c0fb08,,,,,http://coverartarchive.org/release/8cbbf66f-f75a-4d44-8ab2-ef20a3c0fb08/12889171649.jpg
TRAAOPW128F428AE31,Drunk Alone,0,React,That Which Does Not Kill You...Can Only Make You Stronger : Three Way Split,,,,,,
TRAAORY128F934984F,Charisma,0,Sven Tasnadi,Break The Night,,,,,,
TRAAOTD128F42322FC,Going Down Slow,2000,Mance Lipscomb,Texas Songster,f38bf464-1892-4fc7-9b91-20a7d7785e2a,,,,,
TRAAOTT128F14AE002,All Rise,0,Scott Wesley Brown,The Scott Wesley Brown Collection: A Library of 35 Favorite Songs,07c7cb80-2bee-4dc9-ad40-616634776fe6,,,,,
TRAAOTT128F9342E04,Jogo Limpo,0,Flávio José,Seu Olhar Não Mente,,,,,,
TRAAOXM12903CFB3B0,Silent Hill,2009,Moss,Never Be Scared / Don't Be A Hero,e3009a76-eb5c-40e8-8a46-89f4e95af069,,,,,
TRAAOYG128F9314996,Our Love Is Here To Stay,0,Pery Ribeiro,S'Wonderful Movie'n Bossa,,,,,,
